Date,Hour,Value
12 Apr,15,15
12 Apr,16,12
12 Apr,17,9
12 Apr,18,12
12 Apr,19,10
12 Apr,20,10
12 Apr,21,7
12 Apr,22,6
12 Apr,23,6
13 Apr,0,6
13 Apr,1,8
13 Apr,2,6
13 Apr,3,3
13 Apr,4,5
13 Apr,5,1
13 Apr,6,3
13 Apr,7,5
13 Apr,8,7
13 Apr,9,7
13 Apr,10,8
13 Apr,11,9
13 Apr,12,13
13 Apr,13,13
13 Apr,14,12
13 Apr,15,10
13 Apr,16,12
13 Apr,17,13
13 Apr,18,8
13 Apr,19,9
13 Apr,20,7
13 Apr,21,5
13 Apr,22,2
13 Apr,23,5
14 Apr,0,2
14 Apr,1,2
14 Apr,2,1
14 Apr,3,0
14 Apr,4,1
14 Apr,5,0
14 Apr,6,3
14 Apr,7,3
14 Apr,8,2
14 Apr,9,2
14 Apr,10,3
14 Apr,11,6
14 Apr,12,6
14 Apr,13,3
14 Apr,14,6
14 Apr,15,7
14 Apr,16,8
14 Apr,17,8
14 Apr,18,7
14 Apr,19,7
14 Apr,20,5
14 Apr,21,2
14 Apr,22,1
14 Apr,23,2
